Gaia20bbh
#Date,JD(TCB),averagemag
2014-09-16 11:21:12,2456916.97306,untrusted
2014-09-16 13:07:46,2456917.04706,untrusted
2015-02-25 16:38:40,2457079.19352,11.54
2015-02-25 20:52:22,2457079.36970,11.58
2015-03-19 20:55:17,2457101.37172,null
2015-03-19 22:41:28,2457101.44546,11.66
2015-04-18 02:40:54,2457130.61174,untrusted
2015-04-18 04:27:29,2457130.68575,11.22
2015-09-09 10:04:00,2457274.91944,11.66
2015-10-04 09:52:49,2457299.91168,11.35
2015-10-31 03:37:57,2457326.65135,11.58
2015-10-31 05:24:30,2457326.72535,11.55
2016-03-06 17:48:51,2457454.24226,11.49
2016-04-02 21:54:06,2457481.41257,11.49
2016-04-27 11:36:45,2457505.98385,11.47
2016-09-18 18:57:15,2457650.28976,11.57
2016-10-18 10:47:55,2457679.94994,11.40
2016-11-09 04:45:42,2457701.69840,11.52
2016-11-09 06:32:15,2457701.77240,11.52
2017-03-17 06:36:03,2457829.77503,11.44
2017-04-17 18:15:07,2457861.26050,11.58
2017-04-17 20:01:42,2457861.33451,11.56
2017-05-07 08:06:26,2457880.83780,11.45
2017-05-07 12:20:07,2457881.01397,11.46
2017-09-29 13:41:10,2458026.07025,12.43
2017-11-03 01:07:23,2458060.54679,11.85
2017-11-03 02:53:57,2458060.62080,11.84
2017-11-03 07:07:35,2458060.79693,untrusted
2017-11-17 13:13:28,2458075.05102,11.62
2017-11-17 15:00:02,2458075.12502,11.62
2017-11-17 19:13:41,2458075.30117,11.62
2017-11-17 21:00:14,2458075.37516,11.61
2018-03-27 21:33:58,2458205.39859,11.82
2018-05-03 07:14:22,2458241.80164,11.92
2018-05-03 09:00:57,2458241.87566,11.93
2018-05-03 13:14:40,2458242.05185,null
2018-05-16 01:23:14,2458254.55780,12.08
2018-05-16 03:10:19,2458254.63216,null
2018-05-16 07:23:30,2458254.80799,12.08
2018-08-21 21:25:43,2458352.39286,12.06
2018-08-21 23:12:17,2458352.46686,12.07
2018-09-04 03:31:31,2458365.64689,12.13
2018-09-04 05:18:04,2458365.72088,12.13
2018-10-10 08:49:36,2458401.86778,12.81
2019-02-17 04:59:42,2458531.70813,12.19
2019-02-17 09:13:23,2458531.88429,12.18
2019-02-17 10:59:58,2458531.95831,12.18
2019-03-04 11:09:03,2458546.96462,12.03
2019-03-04 15:22:45,2458547.14080,12.03
2019-04-07 16:45:20,2458581.19815,11.82
2019-08-22 02:40:22,2458717.61137,11.73
2019-08-22 04:26:56,2458717.68537,11.74
2019-08-22 08:40:35,2458717.86152,11.74
2019-08-22 10:27:09,2458717.93552,11.74
2019-09-07 15:01:51,2458734.12628,11.87
2019-09-07 16:48:24,2458734.20028,untrusted
2019-09-07 21:02:03,2458734.37642,11.87
2019-10-11 22:29:32,2458768.43718,untrusted
2019-10-12 00:16:05,2458768.51117,11.65
2020-02-26 19:29:33,2458906.31219,18.21
2020-02-26 21:16:08,2458906.38620,18.25
2020-03-17 14:08:53,2458926.08950,18.50
2020-03-17 15:55:28,2458926.16352,18.50
2020-04-17 15:35:24,2458957.14958,18.59
2020-04-17 17:21:58,2458957.22359,18.54
2020-08-22 03:23:39,2459083.64142,14.96
2020-08-22 05:10:12,2459083.71542,14.98
2020-09-05 03:29:07,2459097.64522,14.48
2020-09-05 05:15:41,2459097.71922,14.43
2020-10-10 20:48:22,2459133.36692,13.93
2021-02-17 10:58:14,2459262.95711,12.30
2021-02-17 15:11:55,2459263.13328,12.31
2021-03-05 11:07:15,2459278.96337,12.08
2021-03-05 15:20:57,2459279.13955,12.08
2021-04-08 04:44:20,2459312.69745,12.18
2021-08-31 00:12:16,2459457.50852,11.64
2021-09-20 12:10:57,2459478.00760,null
2021-09-20 16:24:22,2459478.18359,11.62
2021-10-21 11:43:27,2459508.98851,11.53
2022-02-26 10:19:45,2459636.93038,11.47
2022-02-26 12:06:19,2459637.00439,11.47
2022-03-21 00:07:57,2459659.50552,11.61
2022-04-18 22:08:31,2459688.42258,11.73
2022-09-09 23:31:02,2459832.47988,untrusted
2022-09-10 01:17:59,2459832.55416,null
2022-10-05 13:05:26,2459858.04544,11.57
2022-10-31 23:05:25,2459884.46209,11.44
2022-11-01 00:51:59,2459884.53610,11.44
2023-03-08 11:30:02,2460011.97919,11.40
2023-03-08 13:16:36,2460012.05319,11.39
2023-04-04 23:20:32,2460039.47259,11.50
2023-04-05 01:07:06,2460039.54660,11.50
2023-04-29 05:17:41,2460063.72061,11.49
2023-04-29 07:04:16,2460063.79463,11.50
2023-09-20 12:38:05,2460208.02645,11.47
2023-09-20 14:24:39,2460208.10045,11.46
2023-10-20 12:14:08,2460238.00981,11.53
2023-10-20 14:00:41,2460238.08381,11.53
2023-11-10 18:12:58,2460259.25900,untrusted
2023-11-10 19:59:31,2460259.33300,11.54

