Date,JD (TCB),avg Mag
Gaia18dew,,
2014-08-12 09:16:19,2456881.88633,14.99
2014-08-12 15:16:34,2456882.1365,14.82
2014-08-12 19:30:15,2456882.31267,14.90
2014-08-12 21:16:49,2456882.38668,14.88
2014-08-13 01:30:30,2456882.56285,14.89
2014-08-13 03:17:04,2456882.63685,14.85
2014-08-13 07:30:45,2456882.81302,14.85
2014-08-13 09:17:33,2456882.88719,
2014-08-13 13:31:00,2456883.06319,14.85
2014-08-13 15:17:34,2456883.1372,14.83
2014-08-13 19:31:15,2456883.31337,14.84
2014-09-27 18:03:47,2456928.25263,untrusted
2014-11-27 22:40:15,2456989.44462,14.83
2015-01-01 14:07:51,2457024.08878,14.81
2015-01-01 15:54:25,2457024.16279,14.80
2015-02-02 19:43:35,2457056.32193,14.85
2015-02-02 21:30:09,2457056.39594,14.85
2015-03-01 13:40:35,2457083.06985,
2015-03-01 15:27:19,2457083.14397,
2015-04-15 01:17:20,2457127.5537,14.86
2015-04-15 03:03:55,2457127.62772,14.91
2015-05-12 01:19:38,2457154.5553,untrusted
2015-05-12 03:06:12,2457154.62931,untrusted
2015-06-16 13:00:36,2457190.04208,14.96
2015-06-16 14:47:10,2457190.11609,14.94
2015-07-22 18:25:46,2457226.26789,
2015-07-22 20:12:32,2457226.34204,
2015-08-13 18:25:00,2457248.26736,
2015-08-13 20:11:45,2457248.34149,
2015-09-24 17:09:47,2457290.21513,
2015-09-24 18:55:55,2457290.28883,15.07
2015-10-09 17:14:12,2457305.21819,14.80
2015-10-09 19:00:46,2457305.2922,14.82
2015-12-11 03:50:53,2457367.66034,untrusted
2016-01-13 03:14:17,2457400.63492,untrusted
2016-01-13 05:00:51,2457400.70892,14.82
2016-02-17 08:47:51,2457435.86656,14.96
2016-02-17 10:34:25,2457435.94057,14.93
2016-03-13 20:50:09,2457461.36816,14.82
2016-03-13 22:36:43,2457461.44216,14.80
2016-04-27 08:27:46,2457505.85262,14.92
2016-04-27 10:14:20,2457505.92662,15.02
