JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2429185.69,12.0,,,Vis.,BR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429518.6,11.4,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429519.6,11.5,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429520.6,10.5,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429521.6,11.0,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429522.6,10.9,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429525.6,11.0,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429526.6,11.5,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429527.6,10.8,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429528.6,10.7,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429529.6,10.2,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429548.6,10.6,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429551.6,10.8,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429554.6,10.5,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429568.6,10.9,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429576.6,10.6,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429581.6,10.4,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429582.6,10.6,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2429591.6,10.6,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2430548.8,10.9,,,Vis.,HG,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2430559.8,11.0,,,Vis.,HG,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434671.6,10.9,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434678.6,10.6,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434711.6,10.7,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434738.7,10.7,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434775.6,11.0,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434944.8,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434945.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434947.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434948.7,10.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,0.0,0.0
2434949.7,10.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434952.7,11.1,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434955.7,10.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434955.8,10.9,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434957.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434958.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434959.7,10.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434960.7,11.1,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434971.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434973.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434974.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434975.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434976.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434982.6,11.1,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434983.7,11.1,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434984.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434985.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434986.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434987.7,10.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434988.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2434992.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435007.6,11.1,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435009.7,11.0,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435010.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435011.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435012.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435013.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435016.7,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435022.6,11.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435032.6,11.3,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,0.0,0.0
2435033.6,11.4,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435034.6,11.5,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435036.6,11.8,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435037.6,11.7,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435038.6,11.6,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435039.6,11.7,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435040.6,12.0,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435043.6,11.7,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435051.6,11.9,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435058.5,12.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435063.7,12.0,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435066.7,12.0,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435074.7,12.2,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435081.7,11.4,,,Vis.,AC,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
2435095.8,12.0,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,478.3006952153744,594.0680898935875
