JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2452087.7396,11.66,,,R,OCN,,Tycho2,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452087.7424,12.67,,,V,OCN,,Tycho2,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452110.7382,12.6,,,V,OCN,K,4=1240V,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452110.741,11.58,,,R,OCN,K,4=1203Rc,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452118.7701,12.53,,,V,OCN,K,4=1240V,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452118.775,11.48,,,R,OCN,K,4=1203Rc,,REALSKY,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452136.6444,11.5,,,R,OCN,K,C4=1203Rc,,OCN CHAR,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452136.6486,12.52,,,V,OCN,K,C4=1240,,OCN CHAR,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452146.6069,12.61,,,V,OCN,K,C4=1240V,,OCN CHAR,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452150.6639,12.52,,,V,OCN,K,C4=1240V,,OCN CHAR,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452227.4979,12.7,,,V,OCN,,C4=1240V,,OCN CHAR,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452495.9729,12.4,,,Vis.,JA,,,,,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452703.1944,12.4,,,Vis.,JA,,,,,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452842.9042,12.8,,,Vis.,JA,,,,,,,,V,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452932.8958,12.4,,,Vis.,JA,,,,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453093.2139,13.0,,,Vis.,JA,Z,,,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453151.2507,12.8,,,Vis.,JA,,,,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453168.95,12.7,,,Vis.,JA,WZ,,,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453267.9611,12.5,,,Vis.,JA,W,,,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453290.9583,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453554.9986,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453581.0701,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453582.0035,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453588.0451,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453588.9458,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453591.0028,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453606.9806,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453613.9917,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453626.0076,13.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453643.9576,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,0.0,0.0
2453644.9528,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453651.9597,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453880.075,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453884.0222,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453903.9642,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453912.9778,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453916.0153,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453923.0332,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453945.8896,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453949.011,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453959.9444,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453961.9979,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453964.0132,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453966.9167,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453995.9778,14.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2453996.9722,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454008.9611,13.4,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454017.9625,13.9,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454018.9313,13.8,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454030.9292,13.7,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454032.9319,13.5,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454239.45,12.1,,,Vis.,KTZ,J,120,122,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2454240.041,12.8,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454240.45,12.1,,,Vis.,KTZ,J,120,122,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2454244.5,12.1,,,Vis.,KTZ,J,120,122,,,,,Z,,,,FH SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2454264.0306,12.5,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454274.0395,12.5,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454287.9868,12.6,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454296.0222,12.6,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454297.016,12.6,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,0.0,0.0
2454299.975,12.5,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2454307.0014,12.6,,,Vis.,WPX,,,,,,,,Z,,,,FH SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
