JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2416653.832,13.0,0.2,,B,OSW,,,,,SEE 2012JAAVSO-V40-P929; EYE ESTIMATE FROM PLATE TRANSFORMED TO B MAG,1.0,,Z,,,,ES AQL,AAVSO,STD,,,,,478.3006952153744,594.0680898935875
2424830.516,15.4,0.2,,B,OSW,,,,,SEE 2012JAAVSO-V40-P929; EYE ESTIMATE FROM PLATE TRANSFORMED TO B MAG,1.0,,Z,,,,ES AQL,AAVSO,STD,,,,,478.3006952153744,594.0680898935875
2451431.38,12.8,,,Vis.,MPR,K,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451670.62,12.3,,,Vis.,MPR,K,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451704.59,12.2,,,Vis.,MPR,K,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451747.59,12.1,,,Vis.,MPR,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451752.0375,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451753.9799,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451755.9507,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451758.9632,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451760.9542,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451763.9556,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451764.3,11.7,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451765.456,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451765.9847,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451766.9896,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451774.397,11.6,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451777.9778,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451779.366,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451780.367,11.6,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451780.393,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451782.359,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451782.9396,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451783.369,11.9,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451784.367,11.9,,,Vis.,MUY,K,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451785.36,12.3,,,Vis.,MPR,K,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451785.48,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451785.9507,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451786.336,11.9,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451787.38,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,0.0,0.0
2451787.9382,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451792.341,11.9,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451793.356,11.9,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451795.943,11.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451797.9639,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451799.9326,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451803.8923,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451804.302,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451804.8799,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451805.8819,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451807.3,11.8,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451808.9604,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451809.352,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451811.35,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451812.305,12.0,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451812.308,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451812.322,11.8,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451813.276,11.9,,,Vis.,RMQ,,,,,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451817.9389,11.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451819.326,11.9,,,Vis.,RMQ,,,,,CT 01.826,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451819.9361,11.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451820.32,12.1,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451820.327,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451820.33,11.8,,,Vis.,RMQ,,,,,CT 02.830,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451820.9222,11.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451822.9271,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451824.8931,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451825.298,11.9,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451827.9139,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451835.252,11.6,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,0.0,0.0
2451839.249,11.7,,,Vis.,RMQ,,,,,CT 21.749,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451840.272,11.7,,,Vis.,RMQ,,,,,CT 22.772,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451842.9569,11.8,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451846.9347,12.0,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2451849.265,11.9,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451850.335,11.9,,,Vis.,RMQ,,,,,OV 01.835,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451851.233,11.9,,,Vis.,RMQ,,,,,OV 02.733,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451852.21,11.9,,,Vis.,RMQ,,,,,OV 03.710,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451854.218,11.9,,,Vis.,RMQ,,,,,OV 05.718,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2451871.254,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451879.249,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451893.21,11.7,,,Vis.,BMU,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2451991.2777,13.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2452007.8958,13.3,,,Vis.,SXN,,134,,GSC,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452021.603,15.2,,,Vis.,CMG,,,,,,,,V,,,,ES AQL,KNVWS,STD,,,,,478.3006952153744,594.0680898935875
2452028.7896,14.0,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,0.0,0.0
2452048.7778,14.0,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452049.7563,14.0,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452061.8188,15.4,,,V,OCN,,152,155,HENDEN/S,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452076.0403,12.9,,,Vis.,WPX,,,,,,,,Z,,,,ES AQL,VSS,STD,,,,,478.3006952153744,594.0680898935875
2452077.8181,14.0,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452078.8007,14.47,,,V,OCN,,*,,HENDEN+S,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452084.8056,14.0,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452085.7639,14.4,,,Vis.,SXN,,134,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,0.0,0.0
2452086.5049,13.2,,,Vis.,MUY,,13.3,,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452087.7604,14.0,,,V,OCN,,141,,HENDEN/S,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452087.7653,12.56,,,R,OCN,,129=1247R,,HENDEN/S,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452089.7201,14.0,,,Vis.,SXN,Y,136,141,HENDEN,BRIGHTER,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452090.7604,14.1,,,Vis.,SXN,,136,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
2452092.7743,14.0,,,Vis.,SXN,,136,141,HENDEN,,,,V,,,,ES AQL,,STD,,,,,478.3006952153744,594.0680898935875
