JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2443721.0,13.167,,,Vis.,CR,C,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2443751.0,13.95702,,,Vis.,CR,C,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2443787.0,14.308140000000002,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2443804.9,14.308140000000002,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444111.9,13.86924,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444135.0,13.6059,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444168.0,13.6059,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444191.9,13.6059,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444463.9,13.86924,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444511.0,13.6059,,,Vis.,CR,C,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444522.0,13.781460000000001,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444864.9,12.7281,,,Vis.,TMR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444876.9,13.781460000000001,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445077.1,14.044799999999999,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445249.9,14.044799999999999,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445574.242,11.32362,,,Vis.,OB,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445575.34,11.32362,,,Vis.,OB,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445576.369,11.32362,,,Vis.,OB,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445577.311,11.32362,,,Vis.,OB,,,,,,,,V,,,,V618 SGR,,STD,,,,,472.52349084947855,708.7060990229543
