JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2429185.69,10.5336,,,Vis.,BR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429518.6,10.006920000000001,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429519.6,10.0947,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429520.6,9.2169,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429521.6,9.655800000000001,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429522.6,9.568020000000002,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429525.6,9.655800000000001,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429526.6,10.0947,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429527.6,9.48024,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429528.6,9.39246,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429529.6,8.95356,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429548.6,9.30468,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429551.6,9.48024,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429554.6,9.2169,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429568.6,9.568020000000002,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429576.6,9.30468,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429581.6,9.129119999999999,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429582.6,9.30468,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2429591.6,9.30468,,,Vis.,HU,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2430548.8,9.568020000000002,,,Vis.,HG,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2430559.8,9.655800000000001,,,Vis.,HG,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2434671.6,9.568020000000002,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2434678.6,9.30468,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2434711.6,9.39246,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2434738.7,9.39246,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
2434775.6,9.655800000000001,,,Vis.,CR,,,,,,,,V,,,,UV CAS,,STD,,,,,934.9911397819204,743.8028396870322
