JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2444083.8,12.7281,,,Vis.,SCE,,,,,,,,V,,,,Z UMI,,STD,,,,,934.9911397819204,743.8028396870322
2445883.6,10.445820000000001,,,Vis.,KRS,,,,,,,,Z,,,,Z UMI,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2449545.393,10.9725,,,Vis.,PTZ,,,,,,,,V,,,,Z UMI,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2449546.392,10.9725,,,Vis.,PTZ,,,,,,,,V,,,,Z UMI,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2449550.5,11.060279999999999,,,Vis.,BMU,,,,,,,,V,,,,Z UMI,KNVWS,STD,,,,,934.9911397819204,743.8028396870322
2449555.39,11.060279999999999,,,Vis.,PTZ,,,,,,,,V,,,,Z UMI,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2449560.404,11.060279999999999,,,Vis.,PTZ,,,,,,,,V,,,,Z UMI,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2449563.4,10.88472,,,Vis.,BMU,,,,,,,,V,,,,Z UMI,KNVWS,STD,,,,,934.9911397819204,743.8028396870322
2449568.4,10.796940000000001,,,Vis.,BMU,,,,,,,,V,,,,Z UMI,KNVWS,STD,,,,,934.9911397819204,743.8028396870322
2449572.4,10.621379999999998,,,Vis.,BMU,,,,,,,,V,,,,Z UMI,KNVWS,STD,,,,,934.9911397819204,743.8028396870322
2449573.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449574.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449575.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449577.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449578.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449579.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449580.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449580.4,10.621379999999998,,,Vis.,BMU,,,,,,,,V,,,,Z UMI,KNVWS,STD,,,,,934.9911397819204,743.8028396870322
2449581.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2449583.3,9.919139999999999,,,Vis.,SNO,,,,,,,,V,,,,Z UMI,MCSE,STD,,,,,934.9911397819204,743.8028396870322
