JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2454674.91003,11.2516404,0.02,,V,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.027,12.390,12.393""",0.0,,Z,12.05,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454674.91263,10.8899868,0.02,,R,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.126,12.194,12.101""",0.0,,Z,12.1,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454674.91387,10.4747874,0.02,,I,NMR,,,,1009fzq,"""10.84, 10.77 MaximDL 12.041,11.739,11.652""",0.0,,Z,13.82,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454674.91516,12.2295096,0.02,,B,NMR,,,,1009fzq,"""13.25, 13.35 MaximDL 12.606,13.384,13.450""",0.0,,Z,12.84,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454677.91095,11.191949999999999,0.02,,V,NMR,,,,1009ftz,"""12.56, 12.20 MaximDL 12.023,12.405,12.382""",0.0,,Z,12.05,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454677.9122,10.8636528,0.02,,R,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.121,12.192,12.107""",0.0,,Z,12.1,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454677.91345,10.4616204,0.02,,I,NMR,,,,1009fzq,"""10.842, 10.77 MaximDL 12.023,11.745,11.664""",0.0,,Z,13.82,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454677.91475,12.1540188,0.03,,B,NMR,,,,1009fzq,"""13.25, 13.35 MaximDL 12.569,13.334,13.537""",0.0,,Z,12.84,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454950.0528,10.270259999999999,,,Vis.,WPX,,,,,,,,Z,,,,V532 OPH,VSS,STD,,,,,,934.9911397819204,743.8028396870322
2454967.633,10.656492,,,V,PYG,,A2 0675 20097783,,1229k,BRT,0.0,,Z,9.7,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454967.6333,10.621379999999998,,,Vis.,PYG,,,,1229k,comp. A2 0; 35cm SCT,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS,,934.9911397819204,743.8028396870322
2454986.611,10.990055999999997,,,V,PYG,,A2 067520097783,,1229k,BRT,0.0,,Z,9.7,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454986.6111,10.9725,,,,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS,,934.9911397819204,743.8028396870322
2454989.622,10.472154,,,V,PYG,,A2 067520097783,,1229k,BRT,0.0,,Z,9.7,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2454989.6222,10.445820000000001,,,,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS,,934.9911397819204,743.8028396870322
2454992.6215,10.0947,,,,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS,,934.9911397819204,743.8028396870322
2454992.622,10.121033999999998,,,V,PYG,,A2 967520097783,,1229k,BRT,0.0,,Z,9.7,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
2455018.578,10.200035999999997,,,V,PYG,,TYC6247524,,1229k,BRT,0.0,,Z,10.1,,,V532 OPH,,STD,,,,,,934.9911397819204,743.8028396870322
