JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2439641.7,9.74358,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439670.7,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439688.7,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439698.7,10.18248,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439717.7,10.18248,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439736.74,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439739.69,9.74358,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439740.61,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439741.66,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439744.61,10.18248,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439745.6,10.270259999999999,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439747.62,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439749.56,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439751.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439756.7,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439760.5,10.006920000000001,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439764.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439766.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439767.6,10.18248,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439786.6,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439788.5,9.655800000000001,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439790.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439792.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439800.5,10.358040000000003,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439800.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439821.5,10.006920000000001,,,Vis.,BRJ,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2439822.6,9.655800000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440028.66,9.74358,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440036.69,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440038.66,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,0.0,0.0
2440054.64,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440058.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440059.68,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440066.63,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440090.65,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440100.6,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440107.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440112.6,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440114.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440118.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440120.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440122.6,10.0947,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440127.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440134.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440139.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440143.5,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440146.6,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440150.5,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440153.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440159.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440161.6,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440163.5,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440171.6,9.919139999999999,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440183.5,10.006920000000001,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440197.5,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440199.5,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
2440372.7,9.831359999999998,,,Vis.,LX,,,,,,,,V,,,,V482 CYG,,STD,,,,,478.3006952153744,594.0680898935875
