JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2411623.4,12.02586,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2412445.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2412446.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2412697.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2412719.4,12.02586,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2412722.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413142.4,12.7281,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413847.4,13.6059,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413877.4,14.044799999999999,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413922.4,13.6059,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413946.4,13.167,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413950.4,13.34256,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413951.4,13.6059,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2413952.4,13.6059,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2414391.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2414394.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2414639.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2414962.4,12.02586,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415308.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415315.4,12.02586,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415325.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415371.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415619.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415726.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2415739.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416120.4,12.2892,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416131.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416436.4,12.903659999999999,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416745.4,12.552540000000002,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416760.4,13.167,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,0.0,0.0
2416814.4,13.254779999999998,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416816.4,13.07922,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416820.4,13.07922,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416855.4,13.07922,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2416856.4,13.07922,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2417128.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2417563.4,13.167,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2417933.4,13.167,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2417965.4,13.167,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2418612.4,12.11364,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2418630.4,12.02586,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2419690.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2421154.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2421155.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2421204.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
2421316.4,12.20142,,,,LY,,,,,,,,Z,,,,W MEN,AAVSO,STD,,1927BHarO.846...33L,BBI,,478.3006952153744,594.0680898935875
