JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2445107.243,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445108.235,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445110.22,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445111.229,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445112.257,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445113.268,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445114.279,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445115.234,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445116.229,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445119.223,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445129.195,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445133.219,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445134.226,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445137.229,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445138.23,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445139.225,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445141.202,9.04134,,,Vis.,OB,  F1V3G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445142.26,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445144.399,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445144.9,9.2169,,,Vis.,CR,,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445146.349,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445148.257,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445159.22,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445160.22,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445161.214,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445163.223,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445164.209,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445165.203,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445166.237,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445168.255,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,0.0,0.0
2445169.284,9.129119999999999,,,Vis.,OB,  F1V2G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
2445170.221,9.39246,,,Vis.,OB,  F1V1G,,,,,,,V,,,,Y MUS,,STD,,,,,478.3006952153744,594.0680898935875
