JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2417389.7,6.5835,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417439.6,6.3201600000000004,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417461.6,6.49572,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417495.5,6.3201600000000004,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417786.6,6.3201600000000004,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417800.6,6.49572,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417816.6,6.40794,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417826.5,6.49572,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2417845.5,6.1446,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
2418065.8,6.1446,,,Vis.,C,,,,,1912ANHAR-63-97.  SUBMITTED BY PKV.,,,Z,,,,RY SGR,AAVSO,STD,,1912AnHar..63....1C,PKV,,478.3006952153744,594.0680898935875
