JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2456150.0868,11.32362,,,Vis.,PEX,B,125,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456155.0799,11.938080000000001,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456157.1049,11.8503,,,Vis.,PEX,B,131,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456166.0813,11.8503,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456169.0486,11.76252,,,Vis.,PEX,B,131,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456170.0486,12.02586,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456177.0403,11.8503,,,Vis.,PEX,B,131,136,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456187.0188,12.02586,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456339.3375,10.9725,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456341.3431,11.148060000000001,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456355.3222,10.709159999999999,,,Vis.,PEX,,115,123,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456357.3146,10.709159999999999,,,Vis.,PEX,,115,123,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456358.3549,10.88472,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456364.3188,10.9725,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456375.3028,10.5336,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456381.2785,10.9725,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456384.3042,10.796940000000001,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456387.00198,11.892434399999999,0.035,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0.0,1.951,Z,,,,GV OPH,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456387.00439,10.660881,0.018,,V,SXN,,ENSEMBLE,,12658MT,OC61,0.0,1.92,Z,,,,GV OPH,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456393.3146,10.9725,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV Oph,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456426.10038,11.8388886,0.047,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0.0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456426.10301,10.6398138,0.034,,V,SXN,,ENSEMBLE,,12658MT,OC61,0.0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456433.3319,11.148060000000001,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
