JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2437699.2,11.114999999999998,,,Vis.,JA,K,,,,MAGS FROM MM & ASAS3,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437728.2,11.399999999999999,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437739.2,11.589999999999998,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437759.2,11.685,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437821.0,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437829.2,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437840.0,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437847.0,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437852.9,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437867.9,12.35,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437881.9,12.065,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2437902.0,12.065,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438049.1,11.78,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438054.2,12.065,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438074.2,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438086.2,12.065,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438087.2,12.635,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438124.2,14.155,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438144.0,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438156.2,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438163.9,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438177.0,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438181.2,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438192.9,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438205.0,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438210.0,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438230.0,8.549999999999999,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438236.9,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
2438252.9,12.825,,,Vis.,JA,K,,,,,,,Z,,,,V517 OPH,,STD,,,,,472.52349084947855,708.7060990229543
