JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2435401.6,6.84,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435418.6,6.84,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435426.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435432.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435435.6,7.125,,,Vis.,OV,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435448.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435454.6,7.125,,,Vis.,OV,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435454.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435461.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435474.6,7.125,,,Vis.,OV,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435474.6,6.84,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435479.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435489.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435509.6,6.935,,,Vis.,SK,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
2435533.6,7.03,,,Vis.,OV,,,,,,,,V,,,,XX CAM,,STD,,,,,472.52349084947855,708.7060990229543
