JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2443732.2,10.529886906,,,Vis.,BNK,C,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2443746.2,10.529886906,,,Vis.,BNK,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2444168.0,10.435023060000002,,,Vis.,CR,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2444864.9,10.435023060000002,,,Vis.,TMR,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445252.6,9.960703830000002,,,Vis.,TMR,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445796.558,11.763116904,,,Vis.,OB,  <R,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445804.572,11.763116904,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445816.653,11.763116904,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445820.637,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445829.609,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445834.626,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445843.436,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445846.577,12.33229998,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445851.373,11.573389212,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445853.5,11.763116904,,,Vis.,STF,,,,,,,,V,,,,VZ SGR,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2445857.439,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445857.5,11.857980750000001,,,Vis.,STF,,,,,,,,V,,,,VZ SGR,AFOEV,STD,,,,,934.9911397819204,743.8028396870322
2445859.625,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445861.557,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445881.322,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445884.324,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445887.273,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445899.282,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445900.303,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445901.278,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445902.27,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445903.242,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445911.232,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445912.298,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445914.266,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,0.0,0.0
2445918.259,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445919.243,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445926.249,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445929.247,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445930.215,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445932.245,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445934.231,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445936.245,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445937.235,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445938.235,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445940.238,13.280938440000002,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2445941.3,11.573389212,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446008.247,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446013.326,11.763116904,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,-9999.99,-9999.99
2446103.613,11.763116904,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446146.566,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446148.509,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446157.6,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446173.5,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446174.6,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446175.5,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446180.5,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446181.4,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446182.4,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
2446184.6,12.237436134000001,,,Vis.,OB,,,,,,,,V,,,,VZ SGR,,STD,,,,,934.9911397819204,743.8028396870322
