JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2440058.7,11.38366152,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2441137.7,11.857980750000001,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2441545.6,11.857980750000001,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2444427.95,12.616891518,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,478.3006952153744,594.0680898935875
2444490.97,12.616891518,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,478.3006952153744,594.0680898935875
2444493.93,12.616891518,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,478.3006952153744,594.0680898935875
2444512.95,12.616891518,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,478.3006952153744,594.0680898935875
2444879.25,10.529886906,,,Vis.,OB,,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2445114.415,12.047708442000003,,,Vis.,OB,,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446216.6,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446218.6,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446227.4,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446228.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446230.6,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446232.5,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446233.4,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446234.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446236.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446237.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446238.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446239.3,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446242.6,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446243.4,12.616891518,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446340.2,12.142572288000002,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
2446343.2,12.142572288000002,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,478.3006952153744,594.0680898935875
