JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2456567.09444,14.264250000000002,,,Vis.,HSP,,144,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456594.04653,13.965,,,Vis.,HSP,,141,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456600.03681,13.965,,,Vis.,HSP,,141,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456618.93194,13.965,,,Vis.,HSP,,141,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456620.96736,13.965,,,Vis.,HSP,,141,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456649.91736,13.26675,,,Vis.,HSP,,134,,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456993.95208,13.167,,,Vis.,HSP,B,129,134,12466AGO,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457301.03125,12.9675,,,Vis.,HSP,,129,134,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457311.02153,12.66825,,,Vis.,HSP,,129,134,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457312.04444,12.568499999999998,,,Vis.,HSP,,125,129,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457333.01528,12.568499999999998,,,Vis.,HSP,,125,129,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457338.94931,12.66825,,,Vis.,HSP,,129,134,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457339.96319,12.66825,,,Vis.,HSP,,125,129,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457360.975,12.568499999999998,,,Vis.,HSP,,129,134,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457361.94722,12.9675,,,Vis.,HSP,,129,134,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457392.90208,13.26675,,,Vis.,HSP,L,134,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457396.90764,13.26675,,,Vis.,HSP,,134,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457399.89931,13.3665,,,Vis.,HSP,L,135,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457643.10556,13.26675,,,Vis.,HSP,,134,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457662.06597,13.26675,,,Vis.,HSP,,134,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457672.01528,13.965,,,Vis.,HSP,,141,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457682.99028,13.26675,,,Vis.,HSP,,13.4,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457688.0125,13.26675,,,Vis.,HSP,,134,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457689.00972,13.965,,,Vis.,HSP,,141,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457712.95,13.965,,,Vis.,HSP,,141,,10989FT,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457713.95139,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457714.92014,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457715.93611,13.26675,,,Vis.,HSP,,134,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457720.94792,13.26675,,,Vis.,HSP,,134,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457722.95417,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,0.0,0.0
2457724.925,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457726.95139,14.264250000000002,,,Vis.,HSP,,144,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457727.94583,14.264250000000002,,,Vis.,HSP,,144,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457741.91458,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457742.91736,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457743.91667,13.965,,,Vis.,HSP,,141,,10225CIM,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457989.15347,16.259249999999998,,,Vis.,HSP,,164,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458038.98611,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458041.99444,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458045.93889,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458289.22431,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458303.19514,14.763000000000002,,,Vis.,HSP,B,149,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458322.22014,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458369.15833,15.86025,,,Vis.,HSP,,160,,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458407.03681,16.159499999999998,,,Vis.,HSP,,160,164,X20620AAJ,,,,Z,,,,NSV 13098,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.55227,15.683692500000001,0.047,,V,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 12.282  K = 12.873,0.0,1.39,Z,17.355,17.966,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.553,15.759502499999998,0.055,,V,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 12.282  K = 12.873,0.0,1.39,Z,17.34,17.969,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.55367,13.875225,0.044,,I,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 11.345  K = 11.827,0.0,1.39,Z,18.247,18.714,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.55424,13.83732,0.049,,I,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 11.345  K = 11.827,0.0,1.39,Z,18.244,18.72,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.55498,18.1854225,0.578,,B,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 13.088  K = 13.846,0.0,1.39,Z,18.498,19.268,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458409.55571,17.42433,0.269,,B,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 13.088  K = 13.846,0.0,1.39,Z,18.494,19.28,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458410.54958,15.636809999999999,0.054,,V,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 12.282  K = 12.873,0.0,1.39,Z,17.404,18.018,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458410.55032,15.759502499999998,0.061,,V,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 12.282  K = 12.873,0.0,1.39,Z,17.403,18.009,,NSV 13098,VVS,STD,,,,,,-9999.99,-9999.99
2458410.55099,13.818367499999999,0.049,,I,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 11.345  K = 11.827,0.0,1.39,Z,18.291,18.762,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
2458410.55156,13.755524999999999,0.043,,I,HMB,,000-BKX-318,000-BKX-320,X23379NBJ,STANDARD MAG: C = 11.345  K = 11.827,0.0,1.39,Z,18.298,18.769,,NSV 13098,VVS,STD,,,,,,472.52349084947855,708.7060990229543
