JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2372845.4,6.2044500000000005,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2372848.4,6.2044500000000005,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2373158.4,6.2643,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376818.4,7.68075,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376841.4,8.15955,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376844.4,8.0598,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376850.4,7.730625,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376857.4,6.76305,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376858.4,6.76305,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
2376864.4,6.76305,,,Vis.,PIGE,K,,,,PIGOTT E. & ENGELFIELD H. C. 1797 PHIL. TRANS. ROYAL SOCIETY OF LONDON  V87 P133  -- PIGOTT GIVES COMPARISONS TO STARS.  MODERN V MAGS FOR THESE COMPARISON STARS CONVERTED TO VISUAL AND THEN APPLIED TO R CRB.  SO LISTED MAGNITUDE IS IN VISUAL SYSTEM SAME AS FOR ALL AAVSO 'VISUAL' MAGS.,,,Z,,,,R CRB,,STD,,,SCK,,934.9911397819204,743.8028396870322
