JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2441517.7,11.171999999999999,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2441541.7,11.271749999999999,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2441606.6,11.571,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2441832.81,12.9675,,,Vis.,SCE,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2441900.7,13.965,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2441945.7,12.9675,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442128.6,12.369,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442153.6,12.369,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442157.6,12.269250000000001,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442168.6,12.9675,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442182.7,13.06725,,,Vis.,BRJ,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442186.6,12.9675,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442187.4,12.568499999999998,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442192.6,13.46625,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442197.4,13.46625,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
2442200.6,13.3665,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,934.9911397819204,743.8028396870322
