JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2447950.6117,11.171999999999999,,,Vis.,PAO,,,,,,,,V,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447965.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447966.8,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447978.9,11.770500000000002,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447980.0,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447984.9,12.1695,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447987.0,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2447998.8,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448001.86,11.571,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448010.8,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448014.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448015.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448027.9,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448029.9,12.568499999999998,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448032.5,11.171999999999999,,,Vis.,PAO,,,,,,,,V,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448034.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448036.8,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448037.8,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448039.9,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448040.9,12.1695,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448041.8,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448042.9,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448046.8,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448048.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448052.8,12.46875,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448054.9,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448056.9,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448057.9,12.1695,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448062.9,12.369,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448064.9,12.1695,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,0.0,0.0
2448065.9,12.66825,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448066.9,12.66825,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448077.8,11.770500000000002,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448081.8,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448083.9,12.66825,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448084.8,12.9675,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448085.8,12.9675,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448086.8,12.9675,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448088.9,12.9675,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448090.8,12.369,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448091.8,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448094.5,13.965,,,Vis.,PAO,,,,,,,,V,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448098.8,12.369,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,UX ANT,,STD,,,,RASNZ,478.3006952153744,594.0680898935875
2448102.8,11.770500000000002,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448111.8,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448123.8,12.768,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448143.2,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448146.2,12.269250000000001,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448150.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448151.2,12.66825,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448152.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448153.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448156.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448160.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448161.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
2448166.2,12.86775,,,Vis.,JA,K,,,,,,,Z,,,,UX ANT,,STD,,,,,478.3006952153744,594.0680898935875
