JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2432685.38,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432692.31,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432697.33,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432702.25,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432705.24,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432707.24,9.6742338,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432709.32,9.6742338,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432716.23,9.768158399999999,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432725.34,9.768158399999999,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432730.27,9.204610800000003,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432740.32,9.1106862,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432771.29,8.922837000000001,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2432786.23,8.922837000000001,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2433012.33,8.453214,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2433028.39,9.392460000000002,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2433039.32,9.6742338,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2433055.29,10.613479799999999,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
2433065.34,10.5195552,,,Vis.,KF,,,,,,,,V,,,,UW CEN,,STD,,,,,472.52349084947855,708.7060990229543
