JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2455837.2,10.707404400000001,,,Vis.,JZO,,000,,999999,,,,Z,,,,PT AQL,MCSE,STD,,,,,,472.52349084947855,708.7060990229543
2456524.4208,11.740575000000002,,,Vis.,HGUA,,126,,12541BHX,,,,Z,,,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456524.96477,14.236151622000001,0.054,,V,HGUA,,ENSEMBLE,133,12565BTB,,0.0,1.484,Z,,13.339,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456524.96561,13.234915385999999,0.041,,R,HGUA,,ENSEMBLE,133,12565BTC,,0.0,1.482,Z,,12.786,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456524.96645,14.45029971,0.257,,B,HGUA,,ENSEMBLE,135,12565BTD,,0.0,1.48,Z,,14.475,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456536.38282,14.407094394,0.149,,V,HPIA,,ENSEMBLE,107,12635CNI,,0.0,1.456,Z,,10.726,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456540.37309,14.694503670000001,0.079,,V,HGUA,,ENSEMBLE,133,12645JJP,,0.0,1.09,Z,,13.309,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456553.66985,14.406155147999998,0.043,,V,HGUA,,ENSEMBLE,137,12667CPX,,0.0,1.094,Z,,13.68,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456573.241,14.826937356,0.308,,V,HPIA,,ENSEMBLE,110,12704HOL,,0.0,,Z,,11.014,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456760.89663,13.058337138000002,0.462,,V,HGUA,,ENSEMBLE,126,13353ACG,ITEL5,0.0,1.831,Z,,12.596,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456763.88168,12.622526994,0.599,,V,HGUA,,ENSEMBLE,94,13362GCW,ITEL5,0.0,1.938,Z,,9.359,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456768.87767,12.953141586000001,0.14,,V,HGUA,,ENSEMBLE,131,13377GA,ITEL5,0.0,1.789,Z,,13.142,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456771.83619,12.90054381,0.219,,V,HGUA,,ENSEMBLE,107,13377VZV,ITEL5,0.0,2.465,Z,,10.731,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456781.86903,13.815369414000001,0.135,,V,HGUA,,ENSEMBLE,126,13380CUC,ITEL5,0.0,1.493,Z,,12.596,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456804.80622,12.687334968000002,0.056,,V,HGUA,,ENSEMBLE,131,13476ADRE,ITEL5,0.0,1.494,Z,,13.084,,PT AQL,SAAF,STD,,,,,,472.52349084947855,708.7060990229543
2456816.594595,12.730540284000002,0.033,,V,BPO,,000-BLB-914,000-BLB-916,13241AOP,,0.0,,Z,15.668,15.927,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456827.466157,12.537055608000003,0.058,,V,BPO,,000-BLB-914,000-BLB-916,13241AOP,,0.0,,Z,16.971,17.405,,PT AQL,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
