JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2416646.8,10.801329,,,Vis.,C,,,,,1912ANHAR-63-122.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2416711.6,10.331706000000002,,,Vis.,C,,,,,1912ANHAR-63-122.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2416755.6,10.801329,,,Vis.,C,,,,,1912ANHAR-63-122.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2416782.6,10.8952536,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2416792.6,10.331706000000002,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2416816.6,11.177027400000002,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417110.5,10.331706000000002,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417136.6,10.707404400000001,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417149.5,10.237781400000003,,,Vis.,C,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417149.6,10.237781400000003,,,Vis.,WHD,PK,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417158.5,10.237781400000003,,,Vis.,WHD,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417158.5,9.2985354,,,Vis.,WHD,,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417170.5,11.177027400000002,,,Vis.,WHD,PK,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417170.6,10.801329,,,Vis.,CN,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417177.5,10.331706000000002,,,Vis.,WHD,PK,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417187.5,10.331706000000002,,,Vis.,WHD,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417187.5,9.2985354,,,Vis.,WHD,,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417196.5,10.237781400000003,,,Vis.,WHD,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417196.5,10.331706000000002,,,Vis.,WHD,PK,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417206.5,10.9891782,,,Vis.,C,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
2417206.5,9.768158399999999,,,Vis.,WHD,,,,,,,,V,,,,U AQR,,STD,,,,,472.52349084947855,708.7060990229543
2417451.6,11.083102800000004,,,Vis.,C,,,,,1912ANHAR-63-123.  SUBMITTED BY PKV.,,,Z,,,,U AQR,AAVSO,STD,,1912AnHar..63....1C,PKV,,472.52349084947855,708.7060990229543
