JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2437669.1,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437674.1,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437696.1,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437699.1,9.862083000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437724.2,9.862083000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437728.2,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437734.0,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437739.2,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437753.0,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437759.0,9.5803092,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437762.1,9.5803092,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437778.9,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437795.0,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437820.9,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437831.2,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437836.9,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437846.9,9.9560076,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437852.9,9.9560076,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437863.8,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437867.9,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437881.9,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437884.9,9.862083000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437887.8,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437897.9,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437905.9,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437914.9,9.862083000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437932.9,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437943.9,9.768158399999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437950.8,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2437971.9,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,0.0,0.0
2438017.9,9.5803092,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438023.1,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438028.1,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438034.1,9.6742338,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438048.1,9.9560076,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438051.02,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438086.0,10.0499322,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438095.1,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438103.9,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438108.0,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438111.2,10.707404400000001,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438118.9,10.5195552,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438123.2,10.801329,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438132.9,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,-9999.99,-9999.99
2438140.0,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438143.9,10.331706000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438150.0,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438162.9,10.331706000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438163.9,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438177.0,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438181.0,10.331706000000002,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438190.9,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438202.0,10.801329,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438209.9,10.707404400000001,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438219.9,10.613479799999999,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438232.9,10.4256306,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438238.9,10.5195552,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438251.9,10.1438568,,,Vis.,JA,WZ,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438255.9,10.237781400000003,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438259.9,10.1438568,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,0.0,0.0
2438263.9,10.1438568,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438282.9,10.1438568,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438298.0,10.0499322,,,Vis.,JA,W,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438306.9,10.1438568,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
2438313.9,10.1438568,,,Vis.,JA,,,,,,,,Z,,,,RT NOR,,STD,,,,,934.9911397819204,743.8028396870322
