JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2443606.1,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2443879.2,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2443881.2,11.8344996,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2443938.1,11.6466504,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2443960.0,11.928424200000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2444028.1,12.022348800000001,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2444100.9,11.928424200000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2444375.0,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2444811.0,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2444999.1,11.6466504,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445036.0,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445107.0,11.740575000000002,,,Vis.,CR,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445107.246,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445108.231,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445110.222,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445112.26,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445113.288,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445114.28,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445115.235,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445116.231,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445118.227,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445129.193,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445133.218,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445134.225,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445137.23,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445138.232,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445139.225,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445141.203,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445142.261,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445143.238,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,0.0,0.0
2445144.398,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445146.35,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445148.257,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445159.22,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445160.222,12.022348800000001,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445161.215,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445164.21,11.740575000000002,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
2445165.206,11.8344996,,,Vis.,OB,,,,,,,,V,,,,DY CEN,,STD,,,,,478.3006952153744,594.0680898935875
