JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2443257.2,10.3,,,Vis.,CR,  .2<C,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2443360.0,10.7,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2443423.0,10.8,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2443454.9,12.4,,,Vis.,CR,  S4V6W,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2443747.2,10.3,,,Vis.,BNK,C,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2443806.0,10.8,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444176.9,12.4,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444372.05,13.3,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444384.14,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444426.94,13.3,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444438.08,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444479.95,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444489.98,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444490.96,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444492.97,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444493.9,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444521.94,14.4,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444702.2,12.4,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444707.1,12.7,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444709.55,12.7,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444711.61,12.4,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444724.64,12.0,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444729.0,12.7,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
2444730.13,12.7,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444738.0,12.6,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,472.52349084947855,708.7060990229543
