JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2441517.7,11.2,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441541.7,11.3,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441606.6,11.6,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441832.81,13.0,,,Vis.,SCE,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441900.7,14.0,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441945.7,13.0,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442128.6,12.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442153.6,12.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442157.6,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442168.6,13.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442182.7,13.1,,,Vis.,BRJ,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442186.6,13.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442187.4,12.6,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442192.6,13.5,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442197.4,13.5,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442200.6,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442203.4,13.5,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442208.3,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442210.4,12.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442214.3,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442215.3,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442216.3,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442217.4,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442221.3,12.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442222.3,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442228.6,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442239.7,13.6,,,Vis.,BRJ,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442243.24,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442244.25,12.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442246.26,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,0.0,0.0
2442247.25,11.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442250.04,13.4,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442250.24,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442251.27,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442251.6,13.4,,,Vis.,BRJ,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442252.24,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442268.28,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442269.26,12.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442272.7,14.2,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442280.26,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442299.31,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442300.24,12.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442302.27,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442302.7,14.3,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442303.3,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442306.26,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442307.26,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442308.22,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442317.25,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442325.25,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442329.6,14.0,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442331.22,12.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442339.22,13.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,-9999.99,-9999.99
2442356.25,12.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442365.25,12.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442509.48,11.1,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442511.54,11.2,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442538.5,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442544.62,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442546.61,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,0.0,0.0
2442547.39,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442549.62,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442554.64,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442555.66,11.2,,,Vis.,OB,K,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442584.6,10.8,,,Vis.,BRJ,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442592.35,11.4,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442593.35,11.3,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442598.29,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442601.27,10.9,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442602.23,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442604.26,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442605.45,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442606.26,10.6,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442607.31,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442608.32,10.8,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442609.28,11.0,,,Vis.,OB,,,,,,,,V,,,,GU SGR,,STD,,,,,0.0,0.0
2442619.22,11.1,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442620.24,11.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442621.26,11.1,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442623.23,11.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442623.8,10.4,,,Vis.,CR,,,,,,,,V,,,,GU SGR,,STD,,,,,472.52349084947855,708.7060990229543
2442624.24,10.6,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442625.24,10.6,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442626.23,10.7,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,0.0,0.0
2442627.29,11.1,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442628.23,10.6,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442629.35,10.6,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442630.24,10.6,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442632.21,10.7,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442634.24,11.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442635.22,11.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
2442636.25,11.0,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,GU SGR,,STD,,,,RASNZ,472.52349084947855,708.7060990229543
