JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2440058.7,12.0,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441137.7,12.5,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2441545.6,12.5,,,Vis.,LX,,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2444427.95,13.3,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444490.97,13.3,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444493.93,13.3,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444512.95,13.3,,,Vis.,WPX,,,,,,,,Z,,,,MV SGR,VSS,STD,,,,,472.52349084947855,708.7060990229543
2444879.25,11.1,,,Vis.,OB,,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2445114.415,12.7,,,Vis.,OB,,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446216.6,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446218.6,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446227.4,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446228.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446230.6,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446232.5,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446233.4,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446234.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446236.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446237.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446238.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446239.3,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446242.6,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446243.4,13.3,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446340.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446343.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446344.3,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446350.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446351.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446362.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446524.6,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,0.0,0.0
2446527.6,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446528.5,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446730.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446734.3,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446737.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446738.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446745.2,12.8,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446883.6,13.9,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446884.6,13.9,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446889.6,13.9,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446892.6,13.9,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
2446893.6,13.9,,,Vis.,OB,  <K,,,,,,,V,,,,MV SGR,,STD,,,,,472.52349084947855,708.7060990229543
