JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2451294.3229,15.4,,,Vis.,PEX,,,,,,,,V,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2451321.3472,15.4,,,Vis.,PEX,,,,,,,,V,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452086.7208,13.9,,,Vis.,SXN,,140,133,HENDEN,,,,V,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452088.7271,13.9,,,Vis.,SXN,,140,133,HENDEN,,,,V,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452089.6806,13.2,,,Vis.,SXN,,140,133,HENDEN,,,,V,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452370.987,13.5,,,V,JM,,133,136, SE0203,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452375.995,13.5,,,V,JM,,133,136, SE0203,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452379.928,13.7,,,V,JM,,136,140, SE0203,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452383.959,13.6,,,V,JM,,133,136, SE0203,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452390.977,13.6,,,V,JM,,133,140, SE0203,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452841.7188,13.6,,,V,WDZ,,136,,SE2001,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452845.734,13.62,,,V,WDZ,,136,,SE2001,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452862.6819,13.65,,,V,WDZ,,136,,SE2002,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2452883.6021,13.56,,,V,WDZ,H,133,,SE2002,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453913.525,14.0,0.0,,Vis.,FMR,,136,140,S E 02,,,0.0,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453913.525,14.0,,,Vis.,FMR,,136,140,S E 02,,,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453917.8681,14.0,0.0,,Vis.,STR,Y,140,,020301,,,0.0,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2453994.70139,13.8,,,Vis.,STR,Y,13.6,14.0,020301,,0.0,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2454003.71528,13.6,,,Vis.,STR,,13.3,14.0,020301,,0.0,,Z,,,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2454682.739665,13.331,0.03,,CV,VNA,,000-BCC-404,000-BCC-383,1009qka,,0.0,,Z,13.248,13.548,,V391 SCT,,STD,,,,,,478.3006952153744,594.0680898935875
2455834.8,13.9,,,Vis.,LMK,,140,142,4510ca,,,,Z,,,,V391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456103.0243,14.5,,,Vis.,WPX,,,,,,,,Z,,,,V391 SCT,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456384.17175,13.549,0.055,,V,SXN,,ENSEMBLE,,12659GK,OC61,0.0,1.313,Z,,,,V0391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456424.24714,13.662,0.045,,V,SXN,,ENSEMBLE,,12659GI,OC61,0.0,1.289,Z,,,,V0391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456442.23219,13.888,0.073,,V,SXN,,ENSEMBLE,,12659FX,OC61,0.0,1.463,Z,,,,V0391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456451.22661,15.597,0.055,,B,SXN,,ENSEMBLE,,12488BGO,OC61,0.0,1.61,Z,,,,V0391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456451.22922,13.829,0.049,,V,SXN,,ENSEMBLE,,12488BGI,OC61,0.0,1.631,Z,,,,V0391 SCT,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
