Date,JD (TCB),avg Mag
Gaia16aau,,
2014-08-30 04:04:29,2456899.66978,
2014-08-30 05:51:14,2456899.74391,
2014-10-10 14:59:48,2456941.12486,untrusted
2014-11-11 20:33:37,2456973.35668,20.76
2015-01-13 17:28:10,2457036.22789,18.79
2015-01-13 19:14:44,2457036.3019,18.83
2015-01-30 11:30:02,2457052.97919,17.31
2015-01-30 13:16:36,2457053.05319,17.28
2015-03-11 10:13:18,2457092.9259,16.42
2015-03-11 11:59:52,2457092.99991,16.39
2015-03-31 10:13:08,2457112.92579,16.15
2015-05-07 03:28:42,2457149.64493,
2015-05-07 05:14:51,2457149.71865,16.11
2015-06-07 21:13:07,2457181.38411,
2015-06-07 22:59:17,2457181.45784,
2015-07-08 04:53:16,2457211.70366,16.93
2015-07-08 09:06:57,2457211.87983,16.91
2015-08-20 08:44:56,2457254.86454,17.00
2015-08-20 10:31:30,2457254.93854,16.98
2015-09-17 02:44:58,2457282.61456,16.99
2015-09-17 04:32:01,2457282.6889,
2015-10-22 20:20:30,2457318.34757,16.57
2015-10-22 22:07:04,2457318.42157,16.56
2015-11-25 07:45:45,2457351.82344,15.86
2015-12-18 01:37:08,2457374.56745,
2015-12-18 03:23:38,2457374.64141,15.55
2016-01-25 18:25:06,2457413.26743,untrusted
2016-01-25 20:11:40,2457413.34144,15.23
2016-02-11 00:27:47,2457429.51929,15.30
2016-02-11 02:14:21,2457429.5933,15.30
2016-03-21 17:14:48,2457469.21861,15.25
2016-03-21 19:01:22,2457469.29262,untrusted
2016-04-12 17:12:15,2457491.21684,15.05
2016-05-18 06:22:24,2457526.76556,15.38
2016-05-18 10:36:05,2457526.94172,15.38
2016-06-21 18:04:13,2457561.25293,14.99
2016-07-20 22:16:51,2457590.42837,14.84
2016-07-21 00:03:26,2457590.50238,14.83
2016-09-02 03:54:11,2457633.66263,14.71
2016-09-02 05:40:45,2457633.73663,14.71
2016-09-30 21:49:44,2457662.40954,14.80
2016-09-30 23:36:18,2457662.48354,14.80
2016-11-02 15:26:49,2457695.14362,14.69
2016-11-02 17:13:23,2457695.21763,14.69
2016-12-07 08:43:27,2457729.86351,14.61
2016-12-28 04:24:56,2457750.68398,14.69
2017-02-05 13:22:26,2457790.05725,14.67
2017-02-21 20:47:47,2457806.36652,14.48
2017-02-21 22:34:21,2457806.44052,14.49
2017-04-02 03:26:45,2457845.64358,14.36
2017-04-26 07:34:42,2457869.81576,14.39
2017-05-30 19:07:01,2457904.29654,14.41
2017-07-07 00:47:01,2457941.53265,14.26
2017-07-07 02:33:35,2457941.60666,14.25
2017-08-04 00:49:16,2457969.53421,14.48
2017-08-04 02:35:50,2457969.60822,14.48
2017-09-15 12:25:40,2458012.01782,14.25
2017-09-15 14:12:14,2458012.09183,14.25
2017-10-15 08:01:31,2458041.83439,14.52
2017-12-20 05:03:12,2458107.71056,14.25
2018-01-08 05:01:06,2458126.7091,14.31
2018-01-08 06:47:51,2458126.78323,
2018-02-16 23:29:18,2458166.47868,14.27
2018-03-06 03:45:26,2458183.65655,14.35
2018-04-13 16:31:04,2458222.18824,14.31
2018-04-13 20:44:44,2458222.3644,14.30
2018-05-10 04:22:35,2458248.68235,
2018-06-12 08:16:00,2458281.84444,14.37
2018-06-12 10:02:35,2458281.91846,14.35
2018-07-22 01:54:57,2458321.57983,14.33
2018-07-22 03:41:32,2458321.65384,14.33
2018-07-22 07:55:12,2458321.83,14.33
2018-08-18 13:58:37,2458349.08237,14.37
2018-08-18 15:45:11,2458349.15638,14.36
2018-09-28 09:20:36,2458389.88931,14.33
2018-10-29 09:02:33,2458420.87677,
2018-11-25 20:46:05,2458448.36534,14.29
2019-01-01 18:00:04,2458485.25005,14.44
2019-01-19 12:00:24,2458503.00028,14.29
2019-02-28 10:41:50,2458542.94572,14.40
2019-03-18 16:43:17,2458561.19672,14.34
2019-03-18 18:29:52,2458561.27074,14.33
2019-04-25 11:36:42,2458598.98382,14.36
2019-05-24 11:24:14,2458627.97516,14.24
2019-06-25 05:12:01,2458659.71668,14.31
2019-06-25 09:25:45,2458659.89288,
2019-07-22 22:58:08,2458687.45704,14.33
2019-07-23 00:44:43,2458687.53105,14.33
2019-09-03 01:34:22,2458729.56553,14.31
2019-09-03 03:20:56,2458729.63954,14.33
2019-09-21 21:54:44,2458748.41301,14.41
2019-11-26 13:05:37,2458814.04557,14.41
2019-11-26 17:19:17,2458814.22172,14.40
2019-12-26 12:29:48,2458844.02069,
2020-02-03 20:07:55,2458883.33883,14.33
2020-02-03 21:54:29,2458883.41284,14.34
2020-02-29 20:55:46,2458909.37206,14.36
2020-02-29 22:42:20,2458909.44606,14.35
2020-04-07 12:19:34,2458947.01359,
2020-05-10 12:01:19,2458980.00091,14.27
2020-05-10 13:47:54,2458980.07493,14.26
2020-06-05 19:02:10,2459006.29317,14.25
2020-06-05 20:48:45,2459006.36719,14.23
2020-07-16 03:23:14,2459046.64113,14.32
2020-07-16 05:09:49,2459046.71515,14.31
2020-08-19 09:43:52,2459080.90546,14.25
2020-08-19 13:57:32,2459081.08162,14.24
2020-09-29 01:32:48,2459121.56444,14.26
2020-09-29 03:19:22,2459121.63845,14.26
2020-10-30 03:00:30,2459152.62535,14.41
